grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Drinking With Friends,1,New Mexico Business Roundtable for Educational Excellence,1000000,low,2/4/10,2,4,2010
Drinking With Friends,2,Trustees of Dartmouth College,1100300,low,8/3/09,8,3,2010
Drinking With Friends,3,Denver School of Science and Technology Inc.,1204000,low,11/12/09,11,12,2010
Date with Wife,4,The NEA Foundation for the Improvement of Education,2100000,medium,3/11/10,3,11,2010
Date with Wife,5,New Schools for New Orleans,2300000,medium,10/12/09,10,12,2010
Date with Wife,6,Battelle For Kids,2500000,medium,6/30/09,6,30,2010
Movie with family,7,FSG Social Impact Advisors,500000,medium,9/24/09,9,24,2010
Movie with family,8,Aspire Public Schools,500000,medium,10/29/09,10,29,2010
Movie with family,9,Educational Policy Improvement Center,500000,medium,11/16/09,11,16,2010
Purchased a TV,10,E3 Alliance,2000000,low,10/28/09,10,28,2010
Heating Bill,11,"Hillsborough Education Foundation, Inc.",3000000,medium,11/2/09,11,2,2010
Electricity Bill,12,The College-Ready Promise,2000000,medium,11/2/09,11,2,2010
Paycheck,13,Memphis City Schools Foundation,5000000,high,11/2/09,11,2,2010
Paycheck,14,Pittsburgh Public Schools,5000000,high,11/2/09,11,2,2010
Paycheck,15,Greater Houston Community Foundation,2500000,high,10/28/09,10,28,2010
Paycheck,16,"New Visions for Public Schools, Inc",5000000,high,11/10/09,11,10,2010
Paycheck,17,School District of Philadelphia,5000000,high,11/13/09,11,13,2010
Paycheck,18,Hamilton County Department of Education,2500000,high,11/1/09,11,1,2010
Paycheck,19,Internationals Network For Public Schools Inc,5000000,high,3/24/10,3,24,2010
Paycheck,20,Achieve Minneapolis,5000000,high,10/29/09,10,29,2010
Paycheck,21,The College-Ready Promise,1304000,high,11/4/09,11,4,2010
Paycheck,22,Texas Public Education Reform Foundation,1765000,high,10/1/08,10,1,2010
Paycheck,23,New York City Center for Charter School Excellence,5000000,high,10/30/09,10,30,2010
Paycheck,24,"SEED Foundation, Inc.",5000000,high,1/28/10,1,28,2010
Paycheck,25,City of New Haven,3434343,high,11/17/09,11,17,2010
Paycheck,26,President and Fellows of Harvard College,5000000,high,5/13/09,5,13,2010
Paycheck,27,The Library of Congress,5000000,high,3/1/08,3,1,2010
Paycheck,28,Austin Voices for Education and Youth,5000000,high,10/1/09,10,1,2010
Yearly Bonus,29,Prichard Committee for Academic Excellence,15000000,high,4/30/10,4,30,2010
Didn't Run,30,Council Of The Great City Schools,250000,medium,3/18/10,3,18,2009
Didn't Run,31,New Schools for New Orleans,250000,medium,11/4/09,11,4,2009
Didn't Run,32,Education Equality Project,250000,medium,6/19/09,6,19,2009
Didn't Run,33,Education Writers Association,250000,medium,7/22/09,7,22,2009
Didn't Run,34,Alliance for Education,250000,medium,2/26/10,2,26,2009
Didn't Run,35,Texas Public Education Reform Foundation,250000,medium,7/28/09,7,28,2009
Didn't Run,36,Charlotte-Mecklenburg Schools,250000,medium,11/9/09,11,9,2009
Didn't Run,37,Washington State Commission on African American Affairs,250000,medium,11/20/09,11,20,2009
Didn't Run,38,Cristo Rey Network,250000,medium,11/6/09,11,6,2009
Didn't Run,39,American Institutes for Research,250000,medium,3/1/08,3,1,2009
Didn't Run,40,Professional Educator Standards Board,250000,medium,10/9/09,10,9,2009
Didn't Run,41,Fund for Public Schools Inc.,250000,medium,10/27/09,10,27,2009
Didn't Run,42,DC VOICE,250000,medium,7/1/08,7,1,2009
Didn't Run,43,Tiger Woods Foundation Inc.,250000,medium,8/29/09,8,29,2009
Didn't Run,44,"Public Agenda Foundation, Inc.",250000,medium,3/2/09,3,2,2009
Didn't Run,45,Rensselaer Polytechnic Institute,250000,medium,9/29/09,9,29,2009
Didn't Run,46,National Commission on Teachings & America's Future,250000,medium,1/1/09,1,1,2009
Didn't Run,47,President and Fellows of Harvard College,250000,medium,2/25/10,2,25,2009
Didn't Run,48,Illinois State Board of Education,250000,medium,10/1/08,10,1,2009
Didn't Run,49,Rensselaer Polytechnic Institute,250000,medium,12/1/08,12,1,2009
Didn't Run,50,New Schools Fund dba NewSchools Venture Fund,250000,medium,9/10/09,9,10,2009
Didn't Run,51,New Schools Fund dba NewSchools Venture Fund,250000,medium,3/26/09,3,26,2009
Didn't Run,52,Texas Charter Schools Association,250000,medium,5/18/09,5,18,2009
Didn't Run,53,American Federation Of Teachers Educational Foundation,250000,medium,6/23/09,6,23,2009
Didn't Run,54,National Center For Educational Achievement,250000,medium,11/21/09,11,21,2009
Didn't Run,55,Military Child Education Coalition,250000,medium,10/1/08,10,1,2009
Didn't Run,56,DC Public Education Fund,250000,medium,11/10/09,11,10,2009
Didn't Run,57,Grantmakers for Education,250000,medium,11/6/09,11,6,2009
Didn't Run,58,Envision Schools,250000,medium,6/1/08,6,1,2009
Didn't Run,59,Silicon Valley Community Foundation,250000,medium,11/10/09,11,10,2009
Didn't Run,60,"ACT, Inc.",250000,medium,10/1/08,10,1,2009
Didn't Run,61,Arkansas Department of Education,250000,medium,11/19/09,11,19,2009
Didn't Run,62,Florida Department of Education,250000,medium,11/19/09,11,19,2009
Didn't Run,63,Georgia Department of Education,250000,medium,11/19/09,11,19,2009
Didn't Run,64,Louisiana Department of Education,250000,medium,11/19/09,11,19,2009
